index,date,federal_state_id,federal_state_name,professional_area_ID,professional_area,number_of_unemployed,number_of_job _seekers,reported_open_positions,reported_open_positions_moving_annual_total
2333,15/01/2019,,Hamburg,8430,"Berufe i. d. Hochschullehre, -forschung",154,324,7,97
2334,15/01/2019,,Hamburg,84304,Hochschullehre und -forschung - Experte,154,324,7,97
2335,15/01/2019,,Hamburg,844,Lehrtätigk. außerschul.Bildungseinricht.,264,574,4,21
2336,15/01/2019,,Hamburg,8440,Berufe in der Erwachsenenbildung (o.S.),164,339,- ,9
2337,15/01/2019,,Hamburg,84404,Erwachsenenbildung (o.S.) - Experte,164,339,- ,9
2338,15/01/2019,,Hamburg,8441,Berufe in der Musikpädagogik,48,115,- ,* 
2339,15/01/2019,,Hamburg,84412,Musikpädagogik - Fachkraft,30,71,- ,- 
2340,15/01/2019,,Hamburg,84414,Musikpädagogik - Experte,17,42,- ,* 
2341,15/01/2019,,Hamburg,8443,"Berufe in der Kunst-, Theaterpädagogik",15,31,- ,* 
2342,15/01/2019,,Hamburg,84434,"Kunst-, Theaterpädagogik - Experte",15,31,- ,* 
2343,15/01/2019,,Hamburg,8444,Berufe im IT-Anwendungstraining,3,8,* ,3
2344,15/01/2019,,Hamburg,84444,IT-Anwendungstraining - Experte,3,8,* ,3
2345,15/01/2019,,Hamburg,8445,(Fremd-)Sprachenlehrer/innen,25,66,* ,4
2346,15/01/2019,,Hamburg,84454,(Fremd-)Sprachenlehrer/innen - Experte,25,66,* ,4
2347,15/01/2019,,Hamburg,8448,Lehrkräfte außerschul.Bild.einrich.(ssT),7,13,* ,* 
2348,15/01/2019,,Hamburg,84484,Lehrkr. außerschul.Bild.(ssT)-Experte,5,11,* ,* 
2349,15/01/2019,,Hamburg,845,"Fahr-,Sportunterricht außerschul. Bild.",169,307,23,43
2350,15/01/2019,,Hamburg,8450,Sportlehrer/innen (o.S.),25,42,- ,3
2351,15/01/2019,,Hamburg,84503,Sportlehrer/innen (o.S.) - Spezialist,16,25,- ,* 
2352,15/01/2019,,Hamburg,84504,Sportlehrer/innen (o.S.) - Experte,9,17,- ,* 
2353,15/01/2019,,Hamburg,8451,Fahrlehrer/innen,9,22,13,24
2354,15/01/2019,,Hamburg,84513,Fahrlehrer/innen - Spezialist,9,22,13,24
2355,15/01/2019,,Hamburg,8453,Tanzlehrer/innen,18,34,- ,- 
2356,15/01/2019,,Hamburg,84533,Tanzlehrer/innen - Spezialist,18,34,- ,- 
2357,15/01/2019,,Hamburg,8454,Trainer/innen - Ballsportarten,7,13,- ,- 
2358,15/01/2019,,Hamburg,84543,Trainer - Ballsportarten - Spezialist,7,13,- ,- 
2359,15/01/2019,,Hamburg,8455,Trainer/innen - Fitness und Gymnastik,101,182,8,12
2360,15/01/2019,,Hamburg,84553,"Trainer - Fitness,Gymnastik - Spezialist",101,182,8,12
2361,15/01/2019,,Hamburg,8458,Sportlehrer/innen (s.s.T.),9,13,* ,4
2362,15/01/2019,,Hamburg,84583,Sportlehrer/innen (s.s.T.) - Spezialist,9,13,* ,4
2363,15/01/2019,,Hamburg,91,Geistes-Gesellschafts-Wirtschaftswissen.,302,556,16,79
2364,15/01/2019,,Hamburg,911,"Sprach-, Literaturwissenschaften",28,65,- ,* 
2365,15/01/2019,,Hamburg,9110,"Berufe in Sprach-, Literaturwissen.(oS)",11,19,- ,- 
2366,15/01/2019,,Hamburg,91104,"Sprach-, Literaturwissen.(oS) - Experte",11,19,- ,- 
2367,15/01/2019,,Hamburg,9111,Berufe in der Germanistik,7,14,- ,* 
2368,15/01/2019,,Hamburg,91114,Germanistik - Experte,7,14,- ,* 
2369,15/01/2019,,Hamburg,9112,"Berufe in der Anglistik, Amerikanistik",3,9,- ,- 
2370,15/01/2019,,Hamburg,91124,"Anglistik, Amerikanistik - Experte",3,9,- ,- 
2371,15/01/2019,,Hamburg,9115,"Berufe in der Arabistik, Orientalistik",4,8,- ,- 
2372,15/01/2019,,Hamburg,91154,"Arabistik, Orientalistik - Experte",4,8,- ,- 
2373,15/01/2019,,Hamburg,912,Geisteswissenschaften,56,112,3,20
2374,15/01/2019,,Hamburg,9121,"Berufe in Philosophie, Religion, Ethik",6,15,- ,- 
2375,15/01/2019,,Hamburg,91214,"Philosophie, Religion, Ethik - Experte",6,15,- ,- 
2376,15/01/2019,,Hamburg,9122,Berufe in Geschichtswissenschaften,18,26,- ,* 
2377,15/01/2019,,Hamburg,91224,Geschichtswissenschaften - Experte,18,26,- ,* 
2378,15/01/2019,,Hamburg,9123,Berufe in der Archäologie,7,15,- ,- 
2379,15/01/2019,,Hamburg,91234,Archäologie - Experte,7,15,- ,- 
2380,15/01/2019,,Hamburg,9124,"Berufe in Medien-, Theaterwissenschaft",19,41,3,18
2381,15/01/2019,,Hamburg,91244,"Medien-, Theaterwissenschaft - Experte",19,41,3,18
2382,15/01/2019,,Hamburg,9125,Berufe in der Regionalwissenschaft,3,8,- ,* 
2383,15/01/2019,,Hamburg,91254,Regionalwissenschaft - Experte,3,8,- ,* 
2384,15/01/2019,,Hamburg,9126,"Berufe in der Anthropologie, Ethnologie",3,7,- ,- 
2385,15/01/2019,,Hamburg,91264,"Anthropologie, Ethnologie - Experte",3,7,- ,- 
2386,15/01/2019,,Hamburg,913,Gesellschaftswissenschaften,152,277,10,45
2387,15/01/2019,,Hamburg,9131,Berufe in der Politologie,18,34,- ,* 
2388,15/01/2019,,Hamburg,91314,Politologie - Experte,18,34,- ,* 
2389,15/01/2019,,Hamburg,9132,Berufe in der Soziologie,40,70,* ,13
2390,15/01/2019,,Hamburg,91324,Soziologie - Experte,40,70,* ,13
2391,15/01/2019,,Hamburg,9133,Berufe in der Erziehungswissenschaft,32,69,7,20
2392,15/01/2019,,Hamburg,91334,Erziehungswissenschaft - Experte,32,69,7,20
2393,15/01/2019,,Hamburg,9134,"Berufe in der Markt-, Meinungsforschung",21,37,* ,6
2394,15/01/2019,,Hamburg,91344,"Markt-, Meinungsforschung - Experte",20,33,- ,3
2395,15/01/2019,,Hamburg,9138,Berufe Gesellschaftswissenschaften (ssT),41,67,- ,5
2396,15/01/2019,,Hamburg,91384,Gesellschaftswissenschaften(ssT)-Experte,41,67,- ,5
2397,15/01/2019,,Hamburg,914,Wirtschaftswissenschaften,66,102,3,13
2398,15/01/2019,,Hamburg,9140,Berufe in Wirtschaftswissenschaften (oS),33,45,* ,5
2399,15/01/2019,,Hamburg,91404,Wirtschaftswissenschaften (oS) - Experte,33,45,* ,5
2400,15/01/2019,,Hamburg,9148,Berufe in Wirtschaftswissenschaften(ssT),33,57,* ,8
2401,15/01/2019,,Hamburg,91484,Wirtschaftswissenschaften(ssT) - Experte,33,57,* ,8
2402,15/01/2019,,Hamburg,92,"Werbung,Marketing,kaufm,red.Medienberufe","1,899","3,119",459,"1,416"
2403,15/01/2019,,Hamburg,921,Werbung und Marketing,"1,357","2,148",430,"1,290"
2404,15/01/2019,,Hamburg,9211,Berufe in Werbung und Marketing,615,987,57,241
2405,15/01/2019,,Hamburg,92112,Werbung und Marketing - Fachkraft,124,223,15,67
2406,15/01/2019,,Hamburg,92113,Werbung und Marketing - Spezialist,409,645,33,114
2407,15/01/2019,,Hamburg,92114,Werbung und Marketing - Experte,82,119,9,60
2408,15/01/2019,,Hamburg,9212,Berufe im Dialogmarketing,411,638,355,930
2409,15/01/2019,,Hamburg,92122,Dialogmarketing - Fachkraft,397,610,348,911
2410,15/01/2019,,Hamburg,92123,Dialogmarketing - Spezialist,14,28,7,19
2411,15/01/2019,,Hamburg,9213,Berufe im Kundenmanagement,202,325,18,112
2412,15/01/2019,,Hamburg,92133,Kundenmanagement - Spezialist,202,325,18,112
2413,15/01/2019,,Hamburg,9219,Führung - Werbung und Marketing,129,198,- ,7
2414,15/01/2019,,Hamburg,92194,Führung - Werbung und Marketing,129,198,- ,7
2415,15/01/2019,,Hamburg,922,Öffentlichkeitsarbeit,122,210,5,12
2416,15/01/2019,,Hamburg,9220,Berufe in der Öffentlichkeitsarbeit,107,189,5,12
2417,15/01/2019,,Hamburg,92203,Öffentlichkeitsarbeit - Spezialist,89,153,4,9
2418,15/01/2019,,Hamburg,92204,Öffentlichkeitsarbeit - Experte,18,36,* ,3
2419,15/01/2019,,Hamburg,9229,Führung - Öffentlichkeitsarbeit,15,21,- ,- 
2420,15/01/2019,,Hamburg,92294,Führung - Öffentlichkeitsarbeit,15,21,- ,- 
2421,15/01/2019,,Hamburg,923,Verlags- und Medienwirtschaft,74,128,11,43
2422,15/01/2019,,Hamburg,9230,Verlags- und Medienkaufleute (o.S.),53,95,8,32
2423,15/01/2019,,Hamburg,92302,"Verlags-,Medienkaufleute(oS) - Fachkraft",36,69,8,30
2424,15/01/2019,,Hamburg,92303,"Verlags-,Medienkaufleute(oS) -Spezialist",4,4,- ,* 
2425,15/01/2019,,Hamburg,92304,"Verlags-, Medienkaufleute (oS) - Experte",13,22,- ,* 
2426,15/01/2019,,Hamburg,9238,Verlags- und Medienkaufleute (s.s.T.),16,26,3,11
2427,15/01/2019,,Hamburg,92382,"Verlags-, Medienkaufleute(ssT)-Fachkraft",4,5,3,10
2428,15/01/2019,,Hamburg,92383,"Verlags-,Medienkaufleute(ssT)-Spezialist",12,20,- ,* 
2429,15/01/2019,,Hamburg,9239,Führung - Verlags- und Medienwirtschaft,5,7,- ,- 
2430,15/01/2019,,Hamburg,92394,Führung - Verlags- und Medienwirtschaft,5,7,- ,- 
2431,15/01/2019,,Hamburg,924,Redaktion und Journalismus,346,633,13,71
2432,15/01/2019,,Hamburg,9241,"Redakteure/innen, Journalisten/innen",306,565,13,69
2433,15/01/2019,,Hamburg,92412,"Redakteure, Journalisten - Fachkraft",25,43,* ,9
2434,15/01/2019,,Hamburg,92413,"Redakteure, Journalisten - Spezialist",230,418,11,53
2435,15/01/2019,,Hamburg,92414,"Redakteure, Journalisten - Experte",51,104,* ,7
2436,15/01/2019,,Hamburg,9242,Lektoren/innen,20,35,- ,* 
2437,15/01/2019,,Hamburg,92424,Lektoren/innen - Experte,20,35,- ,* 
2438,15/01/2019,,Hamburg,9243,"Autoren/Autorinnen, Schriftsteller/innen",8,14,- ,* 
2439,15/01/2019,,Hamburg,92434,"Autoren, Schriftsteller - Experte",8,14,- ,* 
2440,15/01/2019,,Hamburg,9249,Führung - Redaktion und Journalismus,12,19,- ,- 
2441,15/01/2019,,Hamburg,92494,Führung - Redaktion und Journalismus,12,19,- ,- 
2442,15/01/2019,,Hamburg,93,"Produktdesign, Kunsthandwerk",210,390,21,90
2443,15/01/2019,,Hamburg,931,Produkt- und Industriedesign,40,65,- ,6
2444,15/01/2019,,Hamburg,9310,Berufe im Produkt- und Industriedesign,40,65,- ,6
2445,15/01/2019,,Hamburg,93102,"Produkt-, Industriedesign - Fachkraft",6,9,- ,- 
2446,15/01/2019,,Hamburg,93103,"Produkt-, Industriedesign - Spezialist",9,12,- ,4
2447,15/01/2019,,Hamburg,93104,"Produkt-, Industriedesign - Experte",25,44,- ,* 
2448,15/01/2019,,Hamburg,932,"Innenarchitektur, Raumausstattung",97,170,15,65
2449,15/01/2019,,Hamburg,9321,Berufe in der Innenarchitektur,42,71,3,6
2450,15/01/2019,,Hamburg,93212,Innenarchitektur - Fachkraft,10,19,- ,- 
2451,15/01/2019,,Hamburg,93213,Innenarchitektur - Spezialist,4,7,- ,- 
2452,15/01/2019,,Hamburg,93214,Innenarchitektur - Experte,28,45,3,6
2453,15/01/2019,,Hamburg,9322,Berufe im visuellen Marketing,34,57,8,42
2454,15/01/2019,,Hamburg,93222,Visuelles Marketing - Fachkraft,27,48,8,42
2455,15/01/2019,,Hamburg,93223,Visuelles Marketing - Spezialist,7,9,- ,- 
2456,15/01/2019,,Hamburg,9323,Berufe in der Raumausstattung,20,41,4,17
2457,15/01/2019,,Hamburg,93232,Raumausstattung - Fachkraft,19,39,4,17
2458,15/01/2019,,Hamburg,933,Kunsthandwerk und bildende Kunst,44,85,* ,* 
2459,15/01/2019,,Hamburg,9330,"Berufe Kunsthandwerk, bildend.Kunst (oS)",16,31,- ,- 
2460,15/01/2019,,Hamburg,93302,"Kunsthandw., bild.Kunst (oS) - Fachkraft",3,3,- ,- 
