semester,federal_state,study_code,study_subject,total_males,total_females,total_all
WT 2021/22,Thüringen,SF127,Philosophy,19,18,37
WT 2021/22,Thüringen,SF128,Physics,115,65,180
WT 2021/22,Thüringen,SF224,Engineering Physics/Mechanical Process Engineering,62,17,79
WT 2021/22,Thüringen,SF129,Political Science,90,152,242
WT 2021/22,Thüringen,SF263,Police/Protection of the Constitution,75,23,98
WT 2021/22,Thüringen,SF132,Psychology,285,1341,1626
WT 2021/22,Thüringen,SF134,Spatial Planning,3,7,10
WT 2021/22,Thüringen,SF135,Law,80,117,197
WT 2021/22,Thüringen,SF310,Renewable Energy,46,6,52
WT 2021/22,Thüringen,SF136,Religious Studies,4,4,8
WT 2021/22,Thüringen,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",1,6,7
WT 2021/22,Thüringen,SF146,Slavic Studies (Slavic Philology),1,1,2
WT 2021/22,Thüringen,SF190,Special Needs Education,17,125,142
WT 2021/22,Thüringen,SF208,Social Work,519,2184,2703
WT 2021/22,Thüringen,SF147,Social Studies,7,5,12
WT 2021/22,Thüringen,SF245,Social Pedagogy,17,190,207
WT 2021/22,Thüringen,SF253,Applied Social Science,26,65,91
WT 2021/22,Thüringen,SF148,Social Sciences,41,114,155
WT 2021/22,Thüringen,SF149,Sociology,15,58,73
WT 2021/22,Thüringen,SF150,Spanish,1,4,5
WT 2021/22,Thüringen,SF166,Sports Management/Sports Economics,15,6,21
WT 2021/22,Thüringen,SF098,Sports Education/Sports Psychology,41,14,55
WT 2021/22,Thüringen,SF029,Sports Science,91,17,108
WT 2021/22,Thüringen,SF312,Statistics,51,15,66
WT 2021/22,Thüringen,SF144,Technical Cybernetics,2,2,4
WT 2021/22,Thüringen,SF274,Tourism Management,72,286,358
WT 2021/22,Thüringen,SF457,Environmental Technology (including Recycling),27,16,43
WT 2021/22,Thüringen,SF548,Prehistory and Early History,2,4,6
WT 2021/22,Thüringen,SF213,Supply Technology,19,2,21
WT 2021/22,Thüringen,SF172,Administrative Science/Public Administration,9,18,27
WT 2021/22,Thüringen,SF174,Folklore,1,2,3
WT 2021/22,Thüringen,SF201,Handicrafts (technical)/Technology,10,1,11
WT 2021/22,Thüringen,SF177,Materials Technology,11,7,18
WT 2021/22,Thüringen,SF277,Business Informatics,183,34,217
WT 2021/22,Thüringen,SF370,Business Engineering spec. in Engineering Sciences,203,52,255
WT 2021/22,Thüringen,SF179,Business Engineering specialising in Economics,72,36,108
WT 2021/22,Thüringen,SF276,Business Mathematics,4,1,5
WT 2021/22,Thüringen,SF042,Business Law,48,121,169
WT 2021/22,Thüringen,SF184,Business and Economics,541,854,1395
WT 2021/22,Thüringen,SF185,Dentistry,9,31,40
